unique_id,last_name,first_name,address,city,state,zip_code,date_of_birth,mobile_number,role_code,medical_group_code,salary,date_hired,separation_date
57,Richardson,Alexander,505 Oak St.,Springfield,MO,65803,7/21/1957,4175558766,2,1016,49000,5/7/2022,
58,Cox,Ryan,606 Birch Dr.,Madison,WI,53703,10/11/1958,6085553458,3,1017,51000,7/21/2021,
59,Howard,Angela,707 Pine Blvd.,Milwaukee,WI,53203,2/27/1959,4145559877,4,1018,60000,6/1/2022,12/10/2023
60,Ward,James,808 Elm Ave.,Green Bay,WI,54303,9/5/1960,,5,1019,55000,8/16/2020,
61,Torres,Brian,909 Cedar Ct.,Eau Claire,WI,54703,6/12/1961,7155554329,1,1020,52000,4/27/2021,
62,Peterson,Gary,1010 Maple St.,Boise,ID,83704,4/8/1962,2085550989,2,1001,60000,11/13/2021,
63,Gray,Betty,1111 Oak Blvd.,Twin Falls,ID,83304,8/29/1963,2085553459,3,1002,48000,2/9/2021,
64,Ramirez,Kimberly,1212 Pine Dr.,Idaho Falls,ID,83404,10/20/1964,,4,1003,53000,7/2/2022,
65,James,Melissa,1313 Elm St.,Nampa,ID,83654,11/15/1965,2085555679,5,1004,50000,4/19/2022,
66,Watson,Matthew,1414 Maplewood Dr.,Chicago,IL,60604,7/24/1966,3125558767,1,1005,57000,6/15/2021,
67,Brooks,Linda,1515 Cedar Ave.,Springfield,IL,62704,5/2/1967,,2,1006,51000,3/2/2021,
68,Kelly,Larry,1616 Oak Ct.,Naperville,IL,60543,12/9/1968,6305554328,3,1007,60000,9/17/2021,
69,Sanders,Susan,1717 Willow Rd.,Peoria,IL,61604,3/27/1969,3095558766,4,1008,47000,10/11/2022,
70,Price,Christopher,202 Maple Blvd.,Fort Wayne,IN,46804,6/6/1970,2605550989,5,1009,51000,5/29/2021,
71,Bennett,Jennifer,303 Oak Dr.,Evansville,IN,47704,7/30/1971,,1,1010,60000,2/15/2022,
72,Wood,Barbara,404 Pine Ave.,Bloomington,IN,47404,10/3/1972,8125554329,2,1011,47000,12/5/2021,
73,Barnes,Matthew,505 Cedar Ct.,Terre Haute,IN,47804,5/22/1973,8125558766,3,1012,53000,6/20/2022,
74,Ross,Elizabeth,606 Maple St.,Kansas City,MO,64104,1/31/1974,8165554329,4,1013,60000,8/14/2021,
75,Henderson,Angela,707 Oak Blvd.,St. Louis,MO,63104,2/11/1975,,5,1014,47000,2/16/2021,5/8/2023
76,Coleman,Brian,808 Cedar Dr.,Columbia,MO,65204,11/6/1976,5735550988,1,1015,52000,9/23/2022,
77,Jenkins,Ryan,909 Pine Rd.,Springfield,MO,65804,3/1/1977,4175553459,2,1016,60000,4/10/2021,
78,Perry,Amy,1010 Oak Ct.,Madison,WI,53704,7/10/1978,6085558767,3,1017,51000,7/29/2021,
79,Powell,Michael,1111 Willow Dr.,Milwaukee,WI,53204,9/21/1979,4145554329,4,1018,60000,12/18/2022,11/25/2023
80,Long,Steven,1212 Pine St.,Green Bay,WI,54304,2/15/1980,9205550988,5,1019,55000,8/21/2021,
81,Patterson,Jessica,1313 Cedar Ave.,Eau Claire,WI,54704,10/28/1981,,1,1020,47000,1/4/2022,
82,Hughes,William,1414 Oak Dr.,Boise,ID,83705,11/26/1982,2085552346,2,1001,60000,5/17/2021,
83,Flores,Melissa,1515 Pine Ct.,Twin Falls,ID,83305,4/5/1983,2085553457,3,1002,53000,7/30/2022,
84,Washington,Larry,1616 Cedar Rd.,Idaho Falls,ID,83405,12/13/1984,2085558768,4,1003,51000,10/3/2021,
85,Butler,Kimberly,1717 Oak Blvd.,Nampa,ID,83655,1/7/1985,,5,1004,48000,12/30/2021,
86,Simmons,Charles,202 Maple Ct.,Chicago,IL,60605,5/29/1986,3125550989,1,1005,52000,6/4/2021,
87,Foster,Dorothy,303 Cedar Dr.,Springfield,IL,62705,9/12/1987,,2,1006,51000,3/7/2022,
88,Gonzales,Michael,404 Willow Rd.,Naperville,IL,60544,8/17/1988,6305553458,3,1007,60000,5/20/2021,
89,Bryant,Jessica,505 Pine St.,Peoria,IL,61605,2/13/1989,3095550989,4,1008,47000,9/14/2021,
90,Alexander,Andrew,606 Oak Dr.,Fort Wayne,IN,46805,11/22/1990,2605558768,5,1009,51000,11/2/2022,
91,Russell,Richard,707 Pine Ct.,Evansville,IN,47705,7/8/1991,,1,1010,60000,8/28/2021,
92,Griffin,Steven,808 Cedar Ave.,Bloomington,IN,47405,3/19/1992,8125554329,2,1011,49000,6/21/2022,
93,Diaz,Charles,909 Oak St.,Terre Haute,IN,47805,5/4/1993,8125558769,3,1012,53000,9/3/2021,
94,Hayes,Susan,1010 Maple Blvd.,Kansas City,MO,64105,6/27/1994,,4,1013,60000,7/18/2022,
95,Myers,Brian,1111 Cedar Dr.,St. Louis,MO,63105,12/14/1995,3145550988,5,1014,49000,10/16/2021,
96,Ford,Michael,1212 Oak Ave.,Columbia,MO,65205,9/23/1996,,1,1015,57000,1/29/2022,
97,Hamilton,Patricia,1313 Pine St.,Springfield,MO,65805,8/8/1997,4175554329,2,1016,47000,3/14/2021,
98,Graham,James,1414 Maple Dr.,Madison,WI,53705,2/4/1998,6085558769,3,1017,55000,4/5/2022,
99,Sullivan,Christopher,1515 Oak Ct.,Milwaukee,WI,53205,4/16/1999,4145550989,4,1018,57000,7/16/2021,
100,Wallace,Angela,1616 Pine Dr.,Green Bay,WI,54305,1/5/2000,,5,1019,49000,2/20/2021,
